azimuth,elevation,efficiency
2,41,0.463019199406076
2,42,0.468447666790303
2,43,0.473678566428817
2,44,0.478724588673837
2,45,0.483910815130696
2,46,0.489215886053
2,47,0.494378165440258
2,48,0.499367173649699
2,49,0.504487856041697
2,50,0.509468199536987
2,51,0.514595462279846
2,52,0.519498413215583
2,53,0.524396416395257
2,54,0.529404993917718
2,55,0.534338594491465
2,56,0.53911040356736
2,57,0.543776898430052
2,58,0.548482923537268
2,59,0.553340365136021
2,60,0.558080408736071
2,61,0.56253767714375
2,62,0.56713401826332
2,63,0.571808442005139
2,64,0.576208412754603
2,65,0.580813924242231
2,66,0.585066766625565
2,67,0.589352935143504
2,68,0.594051032023272
2,69,0.598202548362706
2,70,0.602381285058372
2,71,0.606483853153449
2,72,0.610734007921807
2,73,0.614902914371405
2,74,0.619079164174323
2,75,0.62277699604285
2,76,0.626950921508104
2,77,0.630984411768239
2,78,0.634827894423342
2,79,0.638379031521265
2,80,0.642240389553
2,81,0.645908341436211
2,82,0.649643368556643
2,83,0.653246023041502
2,84,0.656926862878829
2,85,0.660388860352567
2,86,0.66381105170039
2,87,0.6672426163874
2,88,0.670763166000943
2,89,0.674047590884644
2,90,0.677190422089489
3,0,0.05065795732839
3,1,0.087867808181423
3,2,0.124508957656466
3,3,0.152355765655949
3,4,0.174297835766587
3,5,0.191982985733095
3,6,0.207105549284714
3,7,0.22048107768003
3,8,0.232698241419512
3,9,0.243991913478473
3,10,0.254529663935077
3,11,0.264535255466694
3,12,0.274301955978935
3,13,0.284248121088443
3,14,0.293847495262422
3,15,0.303075258993657
3,16,0.311711469190927
3,17,0.319954899834163
3,18,0.327745739904125
3,19,0.335167939341282
3,20,0.342251633672713
3,21,0.349107727121877
3,22,0.355709027737563
3,23,0.362147875994319
3,24,0.368441863840198
3,25,0.374490058767784
3,26,0.380492471965565
3,27,0.386263217725079
3,28,0.391992710562166
3,29,0.397640840230083
3,30,0.403403688907415
3,31,0.409048913126256
3,32,0.414686077720778
3,33,0.420065017267265
3,34,0.425677732817944
3,35,0.431043383557917
