azimuth,elevation,efficiency
3,12,0.425087564861124
3,13,0.439259277463162
3,14,0.452221725742453
3,15,0.464101845875135
3,16,0.475403057620514
3,17,0.485973187693503
3,18,0.495814099147772
3,19,0.505155147378532
3,20,0.514226667242287
3,21,0.522461079183332
3,22,0.529946407993033
3,23,0.537341928649465
3,24,0.544126410428338
3,25,0.550162867904174
3,26,0.556011599706885
3,27,0.561502980553329
3,28,0.566520817167706
3,29,0.571517089758373
3,30,0.576073365143934
3,31,0.580411754453787
3,32,0.584275392895487
3,33,0.588197167642746
3,34,0.591773052895037
3,35,0.595251994095735
3,36,0.598448220592516
3,37,0.601607136177506
3,38,0.604525853907136
3,39,0.607509160404678
3,40,0.610159170270862
3,41,0.613037223739306
3,42,0.615408893098462
3,43,0.618145834592348
3,44,0.620459721318538
3,45,0.622688677868031
3,46,0.624976171602644
3,47,0.627071624644539
3,48,0.629289552110653
3,49,0.631300411616328
3,50,0.63308660962426
3,51,0.635198886793382
3,52,0.63671365114752
3,53,0.638644432838903
3,54,0.640705458719042
3,55,0.64227323979376
3,56,0.6439328902888
3,57,0.645745521396941
3,58,0.647361549306655
3,59,0.648996554867755
3,60,0.65046172581392
3,61,0.652058469673475
3,62,0.653654130487058
3,63,0.655222600295659
3,64,0.656645912842077
3,65,0.657915519201096
3,66,0.659813223577151
3,67,0.661120588369404
3,68,0.662726688832885
3,69,0.664182494933414
3,70,0.665578811222099
3,71,0.666866567364903
3,72,0.66823272681228
3,73,0.669654094997525
3,74,0.67079778950409
3,75,0.672088255729255
3,76,0.67314390345782
3,77,0.674388065773413
3,78,0.675413427196826
3,79,0.676614213900929
3,80,0.677635061008222
3,81,0.678731299480266
3,82,0.679887826400196
3,83,0.680583113054765
3,84,0.681604985279015
3,85,0.682528542042632
3,86,0.68314395825832
3,87,0.683884035365552
3,88,0.684276048635304
3,89,0.685094908009902
3,90,0.685479945316224
4,0,0.027891616313082
4,1,0.088177302974078
4,2,0.147875131158008
4,3,0.197185287455295
4,4,0.238835386973391
4,5,0.274468960474904
4,6,0.304718035946368
4,7,0.331180586254809
4,8,0.354467274763242
4,9,0.375060784420292
4,10,0.393198902925616
4,11,0.409786995285166
4,12,0.425141139678481
4,13,0.439242007121781
4,14,0.452182378294175
4,15,0.464241420464451
4,16,0.4754268092461
4,17,0.485869302087873
4,18,0.495910371157204
4,19,0.505253427921886
4,20,0.514161408611223
4,21,0.522511425946946
4,22,0.530199165183758
4,23,0.537307002631282
4,24,0.54405304273769
4,25,0.550311812939161
4,26,0.556089689862995
4,27,0.561571958059512
4,28,0.5667081476545
4,29,0.571515392730582
4,30,0.576062255389541
4,31,0.580430835090541
4,32,0.584281384859275
4,33,0.588151071370803
4,34,0.591800053463162
4,35,0.595399520359035
4,36,0.5985996295999
4,37,0.601681507114771
4,38,0.604828890404429
4,39,0.607521394851485
4,40,0.610337372324684
4,41,0.612990521755168
4,42,0.615478536357055
4,43,0.618098335409068
4,44,0.620425540197965
4,45,0.622775020724014
4,46,0.624913132102942
4,47,0.627042734321407
4,48,0.629209190050596
4,49,0.631255647890109
4,50,0.633182216948353
4,51,0.635225792953803
4,52,0.6370809905061
4,53,0.638930352956154
4,54,0.640519713184723
4,55,0.642202230671026
4,56,0.643885419558195
4,57,0.645692332444847
4,58,0.647199662476631
4,59,0.648876412759466
4,60,0.650309686105091
4,61,0.651899352351112
4,62,0.653602543175916
4,63,0.655185359520281
4,64,0.656584554014167
4,65,0.658357499292512
4,66,0.659888036271369
4,67,0.661225537537981
4,68,0.662914359503339
4,69,0.664073213476074
4,70,0.665426245821513
4,71,0.666871189451572
4,72,0.668401234379703
4,73,0.669584923952999
4,74,0.670884623388175
4,75,0.672098970816374
4,76,0.673049449294708
4,77,0.674221363192573
4,78,0.675630421894219
4,79,0.676620198110749
4,80,0.677554551646162
4,81,0.67878275431611
4,82,0.679656911223078
4,83,0.680809757696569
4,84,0.681537803393985
4,85,0.682268684986715
4,86,0.683084669317469
4,87,0.683762822762988
4,88,0.684313477743728
4,89,0.68498039551226
4,90,0.685479945316224
5,0,0.027877375272303
5,1,0.088270648456823
5,2,0.148040392796919
5,3,0.197361928439039
5,4,0.239045490909836
5,5,0.274536451461514
5,6,0.304809160974282
5,7,0.331207652521492
5,8,0.354433549007329
5,9,0.374959650096731
5,10,0.39327649965866
5,11,0.409948760911631
5,12,0.425322497251331
5,13,0.439376594589541
5,14,0.452200334266546
5,15,0.464130600647501
5,16,0.475424281409305
5,17,0.485862300045886
5,18,0.495903443223163
5,19,0.505313769009091
5,20,0.514103587898572
5,21,0.522473918779893
5,22,0.530126415419457
5,23,0.537415073735052
5,24,0.54419031050245
5,25,0.550356000417208
5,26,0.556205037524251
5,27,0.561593688280015
5,28,0.566587929173164
5,29,0.571433891064914
5,30,0.576224424210678
5,31,0.580358675984044
5,32,0.584559859144631
5,33,0.58818363120987
5,34,0.591884270974577
5,35,0.595206106460709
5,36,0.598586077060834
5,37,0.601727263010031
5,38,0.604710471434575
5,39,0.607578809778244
5,40,0.610415426391197
5,41,0.612980042722603
5,42,0.615500999919741
5,43,0.618115010975613
5,44,0.620653372992098
5,45,0.62279611008876
5,46,0.624834196221213
5,47,0.62711496138775
5,48,0.629302428568186
5,49,0.631268979436657
5,50,0.63306220182831
5,51,0.635310854214571
5,52,0.637052757020026
5,53,0.638710090007667
5,54,0.640572969797215
5,55,0.642373846339429
5,56,0.643985228837641
5,57,0.645621474665385
5,58,0.647388901912224
5,59,0.648866542150677
5,60,0.650568273226289
5,61,0.65199993897922
5,62,0.653481162425313
5,63,0.65530275349165
5,64,0.656665997988078
5,65,0.658245898573611
5,66,0.659697306248111
5,67,0.661407244349254
